model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,4,saturate,0.92212,0.29683453369237484,0.043709084029495714,0.12312947206033394,0.10611047351934627,0.10611047351934627,,,
A,5,gaussian_noise,0.47136,2.756142785434723,0.38892687572300433,0.8745816211509705,0.40071475164080067,0.40071475164080067,,,
A,5,shot_noise,0.59908,1.9746842102384567,0.28031243800371886,0.6508019012618065,0.34839612390957947,0.34839612390957947,,,
A,5,impulse_noise,0.52842,2.3677097151756286,0.3270216013544798,0.7649470909357071,0.424040395718285,0.424040395718285,,,
A,5,defocus_blur,0.82032,0.7560371969509124,0.11366032620519399,0.28862971197128295,0.1991143468411657,0.1991143468411657,,,
A,5,glass_blur,0.57756,1.8983425833511351,0.2728014086908102,0.6708221769046784,0.4434884519984032,0.4434884519984032,,,
A,5,motion_blur,0.78068,0.9077244672584533,0.13647934333235026,0.35029853691101076,0.2477886670189444,0.2477886670189444,,,
A,5,zoom_blur,0.77548,0.9314472399711609,0.13861501745373012,0.35921736103534696,0.2563712854583797,0.2563712854583797,,,
A,5,snow,0.83562,0.6737624510192871,0.09813733762294054,0.2615976054430008,0.20119514837376656,0.20119514837376656,,,
A,5,frost,0.7984,0.8662882257461547,0.1237846950957179,0.3224594965171814,0.23376623822979803,0.23376623822979803,,,
A,5,fog,0.8857,0.4654218505859375,0.07002693832755089,0.18371203878879547,0.13532968356460565,0.13532968356460565,,,
A,5,brightness,0.93944,0.23835533428668976,0.03368387108415365,0.09776480378627778,0.08567225687488463,0.08567225687488463,,,
A,5,contrast,0.77224,0.9354151126813889,0.1371968476086855,0.3509108179497719,0.27170354978462535,0.27170354978462535,,,
A,5,elastic_transform,0.8452999999999999,0.6068327864551544,0.08931755986303092,0.24540109230995177,0.19870466061825864,0.19870466061825864,,,
A,5,pixelate,0.75562,1.162295491502285,0.16497827797919512,0.3995591544866562,0.23641219937474264,0.23641219937474264,,,
A,5,jpeg_compression,0.79316,0.82381912733078,0.12299161721527577,0.3291473825550079,0.25397301799646,0.25397301799646,,,
A,5,speckle_noise,0.63648,1.7834142394793033,0.24582859840333462,0.5876453672003746,0.3372623639502999,0.3372623639502999,,,
A,5,gaussian_blur,0.72916,1.203473076686859,0.17799504796862603,0.43659656733751295,0.27580515965917524,0.27580515965917524,,,
A,5,spatter,0.85272,0.6191254935407638,0.08851254190891981,0.23916213364243508,0.18013624930821068,0.18013624930821068,,,
A,5,saturate,0.92038,0.31091870143294337,0.044864150607585904,0.12684256719470954,0.10860081628948275,0.10860081628948275,,,
C,1,gaussian_noise,0.47452,2.6825576522254946,0.3858672790196538,0.8711293899869919,0.40494934042259817,0.41049959932075986,0.01654,,0.07644675152712811
C,1,shot_noise,0.60118,1.9143131211090088,0.27554665624558927,0.6469449871468544,0.3600737467263639,0.36365381093068516,0.01716000000000002,,0.075615056249288
C,1,impulse_noise,0.54678,2.119017744255066,0.30009307244986294,0.7202076866722107,0.4534900628352817,0.45178180145741326,0.03172000000000001,,0.07689996970355126
C,1,defocus_blur,0.83192,0.6490224234533309,0.0970563732406497,0.2625074302625656,0.21849197107682675,0.2162522296401854,0.015379999999999994,,0.07598430693507095
C,1,glass_blur,0.57674,1.8991950717544555,0.2706019979560375,0.6737430247020721,0.4555484151064581,0.44872183116181985,0.029480000000000017,,0.07811793996821896
C,1,motion_blur,0.7923600000000001,0.8263670216178894,0.1275954931050539,0.3305985563516617,0.24591225342885475,0.24498079912641493,0.016680000000000007,,0.07693321327703606
C,1,zoom_blur,0.79158,0.8191224795341492,0.12092241589277983,0.32873509204626084,0.26796311079811946,0.2662172908588554,0.018080000000000006,,0.07753604982776616
