model,seed,corruption,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
D1,4,glass_blur,5,0.5428,2.0679858184814455,0.3095340250819921,0.7361607215881347,0.434102670469915,0.5391768842528516,0.06399999999999995,0.21412335437433308,0.11037335113566597
D1,5,motion_blur,5,0.654,1.4969925422668457,0.22496607634872198,0.5581515455245971,0.3596378575701732,0.40103704828419723,0.029100000000000015,0.1647550280064548,0.10706005429450367
A,3,gaussian_blur,2,0.8895,0.4287956552505493,0.06375554285049438,0.1756542299747467,0.14259463265226513,0.14259463265226513,,,
A,1,elastic_transform,1,0.9098,0.34737755709886553,0.04920933380723,0.1451551364004612,0.12711473358872463,0.12711473358872463,,,
C,5,contrast,1,0.9437,0.2229760810613632,0.033360999122262,0.09233805539608002,0.07499529461191559,0.07615074194559711,0.0044999999999999485,,0.06987130761304106
D1,2,brightness,5,0.9096,0.35769557580947875,0.05795804755091667,0.14580854296684265,0.10067899600445526,0.12469053741679235,0.010000000000000009,0.049653267181785,0.031543987192231435
D1,2,speckle_noise,2,0.7287,1.2347534267425537,0.19248060957044363,0.4469389127731323,0.2352818259425956,0.2936154967276205,0.025800000000000045,0.11681397464673453,0.07091235022072004
D1,3,zoom_blur,5,0.6473,1.5875937271118163,0.24568675103485585,0.5819447483062744,0.3196307980006444,0.38864236533169166,0.032399999999999984,0.15519749813175684,0.1047707591210909
A,5,impulse_noise,5,0.1908,4.699619994354248,0.625761024211347,1.3580376678466797,0.5249072110163979,0.5249072110163979,,,
D1,5,pixelate,2,0.8791,0.48179839210510256,0.07102105752527714,0.19336374690532684,0.15324341935285485,0.1708123457512207,0.015000000000000013,0.07015364556921462,0.03503075437074223
C,3,snow,2,0.8125,0.8082389379501342,0.11766530711203814,0.3043145121574402,0.2110998177034082,0.21160256795836613,0.015599999999999947,,0.07314070461507381
D1,3,contrast,5,0.3393,3.010011800003052,0.4279638489484787,1.0184099676132201,0.6551047694989247,0.8243295318250544,0.06389999999999996,0.321931626079637,0.2071800227890146
C,5,impulse_noise,1,0.8221,0.7674870441913605,0.11299454128444195,0.2905660527467728,0.1992625027158443,0.1972903986412508,0.013599999999999945,,0.07246502294040819
D1,2,snow,3,0.8425,0.6691580169677734,0.10186550246030092,0.2597494366168976,0.16818893191764947,0.21130988767390954,0.020100000000000007,0.08373420262197274,0.05133909371578532
D1,1,motion_blur,3,0.7705,0.9768394954681396,0.1537947040706873,0.3746173091888428,0.2281598034594703,0.2887401159949921,0.02290000000000003,0.11436819176522793,0.07317928108814652
C,5,jpeg_compression,5,0.7177,1.1734847709655762,0.17887729205191136,0.45199921369552615,0.31100676953432266,0.31090560118540306,0.02180000000000004,,0.07648166941462385
